bus,tech,gid,year,level,latitude,longitude,area,baskv,bus_name,ord,isbb,isei,islf,ispoi,iso
111,WOff,1199,2031,1200.0,39.582537719867,-72.9248127793998,0,,,3,0,1.0,0,0,OUT
111,WOff,1199,2036,2400.0,39.582537719867,-72.9248127793998,0,,,3,0,1.0,0,0,OUT
111,WOff,1199,2041,4000.0,39.582537719867,-72.9248127793998,0,,,3,0,1.0,0,0,OUT
111,WOff,1199,2046,8000.0,39.582537719867,-72.9248127793998,0,,,3,0,1.0,0,0,OUT
111,WOff,1199,2051,16000.0,39.582537719867,-72.9248127793998,0,,,3,0,1.0,0,0,OUT
112,WOff,1200,2031,1200.0,39.4118293966286,-73.8560888698002,0,,,3,0,1.0,0,0,OUT
112,WOff,1200,2036,2400.0,39.4118293966286,-73.8560888698002,0,,,3,0,1.0,0,0,OUT
112,WOff,1200,2041,4000.0,39.4118293966286,-73.8560888698002,0,,,3,0,1.0,0,0,OUT
112,WOff,1200,2046,8000.0,39.4118293966286,-73.8560888698002,0,,,3,0,1.0,0,0,OUT
112,WOff,1200,2051,16000.0,39.4118293966286,-73.8560888698002,0,,,3,0,1.0,0,0,OUT
113,WOff,1201,2031,1200.0,38.7508252088469,-74.5401205109267,0,,,3,0,1.0,0,0,OUT
113,WOff,1201,2036,2400.0,38.7508252088469,-74.5401205109267,0,,,3,0,1.0,0,0,OUT
113,WOff,1201,2041,4000.0,38.7508252088469,-74.5401205109267,0,,,3,0,1.0,0,0,OUT
113,WOff,1201,2046,8000.0,38.7508252088469,-74.5401205109267,0,,,3,0,1.0,0,0,OUT
113,WOff,1201,2051,16000.0,38.7508252088469,-74.5401205109267,0,,,3,0,1.0,0,0,OUT
114,WOff,1202,2031,1200.0,38.1724673534806,-73.4478488906151,0,,,3,0,1.0,0,0,OUT
114,WOff,1202,2036,2400.0,38.1724673534806,-73.4478488906151,0,,,3,0,1.0,0,0,OUT
114,WOff,1202,2041,4000.0,38.1724673534806,-73.4478488906151,0,,,3,0,1.0,0,0,OUT
114,WOff,1202,2046,8000.0,38.1724673534806,-73.4478488906151,0,,,3,0,1.0,0,0,OUT
114,WOff,1202,2051,16000.0,38.1724673534806,-73.4478488906151,0,,,3,0,1.0,0,0,OUT
115,WOff,1203,2031,1200.0,38.2001312094649,-74.5610930191436,0,,,3,0,1.0,0,0,OUT
115,WOff,1203,2036,2400.0,38.2001312094649,-74.5610930191436,0,,,3,0,1.0,0,0,OUT
115,WOff,1203,2041,4000.0,38.2001312094649,-74.5610930191436,0,,,3,0,1.0,0,0,OUT
115,WOff,1203,2046,8000.0,38.2001312094649,-74.5610930191436,0,,,3,0,1.0,0,0,OUT
115,WOff,1203,2051,16000.0,38.2001312094649,-74.5610930191436,0,,,3,0,1.0,0,0,OUT
116,WOff,1204,2031,1200.0,37.4871806471642,-74.1446084820331,0,,,3,0,1.0,0,0,OUT
116,WOff,1204,2036,2400.0,37.4871806471642,-74.1446084820331,0,,,3,0,1.0,0,0,OUT
116,WOff,1204,2041,4000.0,37.4871806471642,-74.1446084820331,0,,,3,0,1.0,0,0,OUT
116,WOff,1204,2046,8000.0,37.4871806471642,-74.1446084820331,0,,,3,0,1.0,0,0,OUT
116,WOff,1204,2051,16000.0,37.4871806471642,-74.1446084820331,0,,,3,0,1.0,0,0,OUT
117,WOff,1205,2031,1200.0,36.8282939459915,-75.5494365373999,0,,,3,0,1.0,0,0,OUT
117,WOff,1205,2036,2400.0,36.8282939459915,-75.5494365373999,0,,,3,0,1.0,0,0,OUT
117,WOff,1205,2041,4000.0,36.8282939459915,-75.5494365373999,0,,,3,0,1.0,0,0,OUT
117,WOff,1205,2046,8000.0,36.8282939459915,-75.5494365373999,0,,,3,0,1.0,0,0,OUT
117,WOff,1205,2051,16000.0,36.8282939459915,-75.5494365373999,0,,,3,0,1.0,0,0,OUT
118,WOff,1206,2031,1200.0,36.6517123151806,-74.3684229012616,0,,,3,0,1.0,0,0,OUT
118,WOff,1206,2036,2400.0,36.6517123151806,-74.3684229012616,0,,,3,0,1.0,0,0,OUT
118,WOff,1206,2041,4000.0,36.6517123151806,-74.3684229012616,0,,,3,0,1.0,0,0,OUT
118,WOff,1206,2046,12000.0,36.6517123151806,-74.3684229012616,0,,,3,0,1.0,0,0,OUT
118,WOff,1206,2051,16000.0,36.6517123151806,-74.3684229012616,0,,,3,0,1.0,0,0,OUT
119,WOff,1207,2031,1200.0,35.9862891684422,-74.4377383878155,0,,,3,0,1.0,0,0,OUT
119,WOff,1207,2036,2400.0,35.9862891684422,-74.4377383878155,0,,,3,0,1.0,0,0,OUT
119,WOff,1207,2041,4000.0,35.9862891684422,-74.4377383878155,0,,,3,0,1.0,0,0,OUT
119,WOff,1207,2046,8000.0,35.9862891684422,-74.4377383878155,0,,,3,0,1.0,0,0,OUT
119,WOff,1207,2051,16000.0,35.9862891684422,-74.4377383878155,0,,,3,0,1.0,0,0,OUT
120,WOff,1208,2031,1200.0,36.3567224871587,-75.3493910689382,0,,,3,0,1.0,0,0,OUT
120,WOff,1208,2036,2400.0,36.3567224871587,-75.3493910689382,0,,,3,0,1.0,0,0,OUT
120,WOff,1208,2041,4000.0,36.3567224871587,-75.3493910689382,0,,,3,0,1.0,0,0,OUT
120,WOff,1208,2046,8000.0,36.3567224871587,-75.3493910689382,0,,,3,0,1.0,0,0,OUT
120,WOff,1208,2051,16000.0,36.3567224871587,-75.3493910689382,0,,,3,0,1.0,0,0,OUT
121,WOff,1209,2031,1200.0,40.5378047558547,-71.9359223364255,0,,,3,0,1.0,0,0,OUT
121,WOff,1209,2036,2400.0,40.5378047558547,-71.9359223364255,0,,,3,0,1.0,0,0,OUT
121,WOff,1209,2041,4000.0,40.5378047558547,-71.9359223364255,0,,,3,0,1.0,0,0,OUT
121,WOff,1209,2046,8000.0,40.5378047558547,-71.9359223364255,0,,,3,0,1.0,0,0,OUT
121,WOff,1209,2051,16000.0,40.5378047558547,-71.9359223364255,0,,,3,0,1.0,0,0,OUT
122,WOff,1210,2031,1200.0,33.503336416697,-78.26666748113,0,,,3,0,1.0,0,0,OUT
122,WOff,1210,2036,2400.0,33.503336416697,-78.26666748113,0,,,3,0,1.0,0,0,OUT
122,WOff,1210,2041,4000.0,33.503336416697,-78.26666748113,0,,,3,0,1.0,0,0,OUT
122,WOff,1210,2046,8000.0,33.503336416697,-78.26666748113,0,,,3,0,1.0,0,0,OUT
122,WOff,1210,2051,16000.0,33.503336416697,-78.26666748113,0,,,3,0,1.0,0,0,OUT
123,WOff,1211,2031,1200.0,32.9843259983558,-78.9664537030963,0,,,3,0,1.0,0,0,OUT
123,WOff,1211,2036,2400.0,32.9843259983558,-78.9664537030963,0,,,3,0,1.0,0,0,OUT
123,WOff,1211,2041,4000.0,32.9843259983558,-78.9664537030963,0,,,3,0,1.0,0,0,OUT
