scen,bus,tech,gid,year,level,marginal,latitude,longitude,area,baskv,bus_name,ord,isbb,isei,islf,ispoi,iso
1,100098,Wind,903,2051,60.0,0.0,43.39694,-70.617393,101,345.0,MAGUIRE ROAD,6,0,0.0,0,1,ISONE
1,100182,CC,16,2031,351.23,0.0,44.531653251,-70.5229981549999,101,115.0,RUMFORD IP,6,0,0.0,0,0,ISONE
1,100182,CC,16,2036,351.23,0.0,44.531653251,-70.5229981549999,101,115.0,RUMFORD IP,6,0,0.0,0,0,ISONE
1,100182,CC,16,2041,351.23,0.0,44.531653251,-70.5229981549999,101,115.0,RUMFORD IP,6,0,0.0,0,0,ISONE
1,100182,CC,16,2046,351.23,0.0,44.531653251,-70.5229981549999,101,115.0,RUMFORD IP,6,0,0.0,0,0,ISONE
1,100182,CC,16,2051,351.23,0.0,44.531653251,-70.5229981549999,101,115.0,RUMFORD IP,6,0,0.0,0,0,ISONE
1,100182,Hydro,359,2031,22.81,0.0,44.531653251,-70.5229981549999,101,115.0,RUMFORD IP,6,0,0.0,0,0,ISONE
1,100182,Hydro,359,2036,22.81,0.0,44.531653251,-70.5229981549999,101,115.0,RUMFORD IP,6,0,0.0,0,0,ISONE
1,100182,Hydro,359,2041,22.81,0.0,44.531653251,-70.5229981549999,101,115.0,RUMFORD IP,6,0,0.0,0,0,ISONE
1,100182,Hydro,359,2046,22.81,0.0,44.531653251,-70.5229981549999,101,115.0,RUMFORD IP,6,0,0.0,0,0,ISONE
1,100182,Hydro,359,2051,22.81,0.0,44.531653251,-70.5229981549999,101,115.0,RUMFORD IP,6,0,0.0,0,0,ISONE
1,100182,PS,480,2031,34.5,0.0,44.531653251,-70.5229981549999,101,115.0,RUMFORD IP,6,0,0.0,0,0,ISONE
1,100182,PS,480,2036,34.5,0.0,44.531653251,-70.5229981549999,101,115.0,RUMFORD IP,6,0,0.0,0,0,ISONE
1,100182,PS,480,2041,34.5,0.0,44.531653251,-70.5229981549999,101,115.0,RUMFORD IP,6,0,0.0,0,0,ISONE
1,100182,PS,480,2046,34.5,0.0,44.531653251,-70.5229981549999,101,115.0,RUMFORD IP,6,0,0.0,0,0,ISONE
1,100182,PS,480,2051,34.5,0.0,44.531653251,-70.5229981549999,101,115.0,RUMFORD IP,6,0,0.0,0,0,ISONE
1,100182,Solar,556,2046,361.76630149,0.0,44.531653251,-70.5229981549999,101,115.0,RUMFORD IP,6,0,0.0,0,0,ISONE
1,100182,Solar,556,2051,361.76630149,0.0,44.531653251,-70.5229981549999,101,115.0,RUMFORD IP,6,0,0.0,0,0,ISONE
1,100182,Wind,904,2031,96.60000000000001,0.0,44.531653251,-70.5229981549999,101,115.0,RUMFORD IP,6,0,0.0,0,0,ISONE
1,100182,Wind,904,2036,96.60000000000001,0.0,44.531653251,-70.5229981549999,101,115.0,RUMFORD IP,6,0,0.0,0,0,ISONE
1,100182,Wind,904,2041,96.60000000000001,0.0,44.531653251,-70.5229981549999,101,115.0,RUMFORD IP,6,0,0.0,0,0,ISONE
1,100182,Wind,904,2046,96.60000000000001,0.0,44.531653251,-70.5229981549999,101,115.0,RUMFORD IP,6,0,0.0,0,0,ISONE
1,100182,Wind,904,2051,462.6,0.0,44.531653251,-70.5229981549999,101,115.0,RUMFORD IP,6,0,0.0,0,0,ISONE
1,100185,CC,17,2031,551.71,0.0,43.656815165,-70.3761190799999,101,115.0,WESTBROOK,6,0,0.0,0,0,ISONE
1,100185,CC,17,2036,551.71,0.0,43.656815165,-70.3761190799999,101,115.0,WESTBROOK,6,0,0.0,0,0,ISONE
1,100185,CC,17,2041,551.71,0.0,43.656815165,-70.3761190799999,101,115.0,WESTBROOK,6,0,0.0,0,0,ISONE
1,100185,CC,17,2046,551.71,0.0,43.656815165,-70.3761190799999,101,115.0,WESTBROOK,6,0,0.0,0,0,ISONE
1,100185,CC,17,2051,551.71,0.0,43.656815165,-70.3761190799999,101,115.0,WESTBROOK,6,0,0.0,0,0,ISONE
1,100185,Hydro,360,2031,20.5,0.0,43.656815165,-70.3761190799999,101,115.0,WESTBROOK,6,0,0.0,0,0,ISONE
1,100185,Hydro,360,2036,20.5,0.0,43.656815165,-70.3761190799999,101,115.0,WESTBROOK,6,0,0.0,0,0,ISONE
1,100185,Hydro,360,2041,20.5,0.0,43.656815165,-70.3761190799999,101,115.0,WESTBROOK,6,0,0.0,0,0,ISONE
1,100185,Hydro,360,2046,20.5,0.0,43.656815165,-70.3761190799999,101,115.0,WESTBROOK,6,0,0.0,0,0,ISONE
1,100185,Hydro,360,2051,20.5,0.0,43.656815165,-70.3761190799999,101,115.0,WESTBROOK,6,0,0.0,0,0,ISONE
1,100185,Solar,557,2051,1304.0508304,0.0,43.656815165,-70.3761190799999,101,115.0,WESTBROOK,6,0,0.0,0,0,ISONE
1,100210,CC,18,2031,181.54,0.0,44.574799485,-68.8061150859999,101,115.0,BUCKSPORT,6,0,0.0,0,0,ISONE
1,100210,CC,18,2036,181.54,0.0,44.574799485,-68.8061150859999,101,115.0,BUCKSPORT,6,0,0.0,0,0,ISONE
1,100210,CC,18,2041,181.54,0.0,44.574799485,-68.8061150859999,101,115.0,BUCKSPORT,6,0,0.0,0,0,ISONE
1,100210,CC,18,2046,181.54,0.0,44.574799485,-68.8061150859999,101,115.0,BUCKSPORT,6,0,0.0,0,0,ISONE
1,100210,CC,18,2051,181.54,0.0,44.574799485,-68.8061150859999,101,115.0,BUCKSPORT,6,0,0.0,0,0,ISONE
1,100210,Solar,558,2051,2228.699026783,0.0,44.574799485,-68.8061150859999,101,115.0,BUCKSPORT,6,0,0.0,0,0,ISONE
1,100210,Wind,905,2051,906.0,0.0,44.574799485,-68.8061150859999,101,115.0,BUCKSPORT,6,0,0.0,0,0,ISONE
1,100211,Hydro,362,2031,39.9,0.0,44.5533939250001,-70.5420567309999,101,115.0,NEWPAGEPAPER,6,0,0.0,0,0,ISONE
1,100211,Hydro,362,2036,39.9,0.0,44.5533939250001,-70.5420567309999,101,115.0,NEWPAGEPAPER,6,0,0.0,0,0,ISONE
1,100211,Hydro,362,2041,39.9,0.0,44.5533939250001,-70.5420567309999,101,115.0,NEWPAGEPAPER,6,0,0.0,0,0,ISONE
1,100211,Hydro,362,2046,39.9,0.0,44.5533939250001,-70.5420567309999,101,115.0,NEWPAGEPAPER,6,0,0.0,0,0,ISONE
1,100211,Hydro,362,2051,39.9,0.0,44.5533939250001,-70.5420567309999,101,115.0,NEWPAGEPAPER,6,0,0.0,0,0,ISONE
