scen,from,to,lid,year,level,bus,latitude_i,longitude_i,area_i,baskv_i,bus_name_i,ord_i,isbb_i,isei_i,islf_i,ispoi_i,iso_i,latitude_j,longitude_j,area_j,baskv_j,bus_name_j,ord_j,isbb_j,isei_j,islf_j,ispoi_j,iso_j
1,107,106,2770,2051,1189.2321362184953,107,41.0974138423215,-70.5117215725893,0,,,3,0,1.0,0,0,OUT,40.7905676918328,-70.0275234628027,0,,,3,0,1.0,0,0,OUT
1,108,106,2775,2041,267.35734572812953,108,40.9366116474799,-71.0500484333377,0,,,3,0,1.0,0,0,OUT,40.7905676918328,-70.0275234628027,0,,,3,0,1.0,0,0,OUT
1,108,106,2775,2046,267.35734572812953,108,40.9366116474799,-71.0500484333377,0,,,3,0,1.0,0,0,OUT,40.7905676918328,-70.0275234628027,0,,,3,0,1.0,0,0,OUT
1,108,106,2775,2051,267.35734572812953,108,40.9366116474799,-71.0500484333377,0,,,3,0,1.0,0,0,OUT,40.7905676918328,-70.0275234628027,0,,,3,0,1.0,0,0,OUT
1,108,107,2776,2051,1143.8315225614424,108,40.9366116474799,-71.0500484333377,0,,,3,0,1.0,0,0,OUT,41.0974138423215,-70.5117215725893,0,,,3,0,1.0,0,0,OUT
1,109,106,2773,2036,1.2339089481947667,109,40.5908445785431,-70.5585554899038,0,,,3,0,1.0,0,0,OUT,40.7905676918328,-70.0275234628027,0,,,3,0,1.0,0,0,OUT
1,109,106,2773,2041,8.292778649921502,109,40.5908445785431,-70.5585554899038,0,,,3,0,1.0,0,0,OUT,40.7905676918328,-70.0275234628027,0,,,3,0,1.0,0,0,OUT
1,109,106,2773,2046,2077.86527265096,109,40.5908445785431,-70.5585554899038,0,,,3,0,1.0,0,0,OUT,40.7905676918328,-70.0275234628027,0,,,3,0,1.0,0,0,OUT
1,109,106,2773,2051,4260.220360384956,109,40.5908445785431,-70.5585554899038,0,,,3,0,1.0,0,0,OUT,40.7905676918328,-70.0275234628027,0,,,3,0,1.0,0,0,OUT
1,109,108,2774,2036,1355.2276295133438,109,40.5908445785431,-70.5585554899038,0,,,3,0,1.0,0,0,OUT,40.9366116474799,-71.0500484333377,0,,,3,0,1.0,0,0,OUT
1,109,108,2774,2041,2251.6660125588696,109,40.5908445785431,-70.5585554899038,0,,,3,0,1.0,0,0,OUT,40.9366116474799,-71.0500484333377,0,,,3,0,1.0,0,0,OUT
1,109,108,2774,2046,2251.6660125588696,109,40.5908445785431,-70.5585554899038,0,,,3,0,1.0,0,0,OUT,40.9366116474799,-71.0500484333377,0,,,3,0,1.0,0,0,OUT
1,109,108,2774,2051,3167.695652173914,109,40.5908445785431,-70.5585554899038,0,,,3,0,1.0,0,0,OUT,40.9366116474799,-71.0500484333377,0,,,3,0,1.0,0,0,OUT
1,111,110,2818,2036,1377.8850931677018,111,39.582537719867,-72.9248127793998,0,,,3,0,1.0,0,0,OUT,39.8853251947672,-73.3140130629404,0,,,3,0,1.0,0,0,OUT
1,111,110,2818,2041,1404.8111341819208,111,39.582537719867,-72.9248127793998,0,,,3,0,1.0,0,0,OUT,39.8853251947672,-73.3140130629404,0,,,3,0,1.0,0,0,OUT
1,111,110,2818,2046,2587.2555225420247,111,39.582537719867,-72.9248127793998,0,,,3,0,1.0,0,0,OUT,39.8853251947672,-73.3140130629404,0,,,3,0,1.0,0,0,OUT
1,111,110,2818,2051,2587.2555225420247,111,39.582537719867,-72.9248127793998,0,,,3,0,1.0,0,0,OUT,39.8853251947672,-73.3140130629404,0,,,3,0,1.0,0,0,OUT
1,112,110,2837,2046,73.38701165585367,112,39.4118293966286,-73.8560888698002,0,,,3,0,1.0,0,0,OUT,39.8853251947672,-73.3140130629404,0,,,3,0,1.0,0,0,OUT
1,112,110,2837,2051,73.38701165585367,112,39.4118293966286,-73.8560888698002,0,,,3,0,1.0,0,0,OUT,39.8853251947672,-73.3140130629404,0,,,3,0,1.0,0,0,OUT
1,112,111,2838,2041,891.6640210975825,112,39.4118293966286,-73.8560888698002,0,,,3,0,1.0,0,0,OUT,39.582537719867,-72.9248127793998,0,,,3,0,1.0,0,0,OUT
1,112,111,2838,2046,2005.694788016982,112,39.4118293966286,-73.8560888698002,0,,,3,0,1.0,0,0,OUT,39.582537719867,-72.9248127793998,0,,,3,0,1.0,0,0,OUT
1,112,111,2838,2051,4911.975246688743,112,39.4118293966286,-73.8560888698002,0,,,3,0,1.0,0,0,OUT,39.582537719867,-72.9248127793998,0,,,3,0,1.0,0,0,OUT
1,113,112,2844,2046,87.29480651050562,113,38.7508252088469,-74.5401205109267,0,,,3,0,1.0,0,0,OUT,39.4118293966286,-73.8560888698002,0,,,3,0,1.0,0,0,OUT
1,113,112,2844,2051,87.29480651050562,113,38.7508252088469,-74.5401205109267,0,,,3,0,1.0,0,0,OUT,39.4118293966286,-73.8560888698002,0,,,3,0,1.0,0,0,OUT
1,114,113,2843,2036,1574.9387755102039,114,38.1724673534806,-73.4478488906151,0,,,3,0,1.0,0,0,OUT,38.7508252088469,-74.5401205109267,0,,,3,0,1.0,0,0,OUT
1,114,113,2843,2041,2624.8979591836733,114,38.1724673534806,-73.4478488906151,0,,,3,0,1.0,0,0,OUT,38.7508252088469,-74.5401205109267,0,,,3,0,1.0,0,0,OUT
1,114,113,2843,2046,3328.7236771641683,114,38.1724673534806,-73.4478488906151,0,,,3,0,1.0,0,0,OUT,38.7508252088469,-74.5401205109267,0,,,3,0,1.0,0,0,OUT
