scen,bus,tech,gid,year,level,marginal,latitude,longitude,area,baskv,bus_name,ord,isbb,isei,islf,ispoi,iso
1,206286,Solar,688,2031,36.9,0.0,40.2544,-74.119,228,230.0,28ATLANTIC,6,0,0.0,0,0,PJM
1,206287,Solar,689,2031,71.9,0.0,40.0626,-74.549,228,230.0,28COOKSTOW,6,0,0.0,0,0,PJM
1,206287,Wind,984,2031,17.0,0.0,40.0626,-74.549,228,230.0,28COOKSTOW,6,0,0.0,0,0,PJM
1,206294,Solar,691,2031,36.0,0.0,40.1141,-74.1924,228,230.0,28LARRABEE,6,0,0.0,0,1,PJM
1,206304,Solar,694,2031,34.1,0.0,40.3005,-74.377,228,230.0,28ENGLISH,6,0,0.0,0,0,PJM
1,206305,Wind,985,2031,20.0,0.0,40.4802,-74.3541,228,230.0,28RAR RVR,6,0,0.0,0,0,PJM
1,206313,Solar,696,2031,10.0,0.0,40.4904,-74.2818,228,230.0,28WERNER,6,0,0.0,0,0,PJM
1,206735,Solar,697,2031,15.0,0.0,40.3689,-74.9307,228,230.0,28ROCKTOWN,6,0,0.0,0,0,PJM
1,207922,CoalST,243,2051,749.0,0.0,40.0957,-76.6961,229,230.0,BRIS,6,0,0.0,0,0,PJM
1,207922,Wind,986,2031,162.2,0.0,40.0957,-76.6961,229,230.0,BRIS,6,0,0.0,0,0,PJM
1,208009,CoalST,244,2036,1508.1,0.0,41.4827,-75.5643,229,230.0,LACK,6,0,0.0,0,0,PJM
1,216900,Wind,992,2031,73.0,0.0,40.8613,-74.1583,231,230.0,ATHENIA,6,0,0.0,0,0,PJM
1,218304,Solar,718,2031,10.0,0.0,40.4564,-74.4768,231,230.0,BRUNSWCK,6,0,0.0,0,0,PJM
1,218307,Wind,1001,2031,27.0,0.0,40.6564,-74.2856,231,230.0,ALDENE_2,6,0,0.0,0,0,PJM
1,218339,Wind,1002,2031,10.15,0.0,40.3493,-74.5504,231,230.0,DEVILSB_1,6,0,0.0,0,0,PJM
1,218469,CoalST,245,2036,725.0,0.0,40.5324,-74.346,231,230.0,METUCHEN,6,0,0.0,0,0,PJM
1,219102,Solar,722,2031,18.79,0.0,40.0751,-74.8743,231,230.0,BURLING,6,0,0.0,0,0,PJM
1,219102,Wind,1004,2031,29.0,0.0,40.0751,-74.8743,231,230.0,BURLING,6,0,0.0,0,0,PJM
1,219110,Solar,723,2031,19.6,0.0,39.8891,-75.0983,231,230.0,GLOUCSTR,6,0,0.0,0,0,PJM
1,219112,Wind,1006,2031,12.0,0.0,39.9506,-74.8101,231,230.0,LUMBRTN,6,0,0.0,0,0,PJM
1,220960,CoalST,246,2051,638.9,0.0,39.1784,-76.529,232,230.0,BRANDN.S,6,0,0.0,0,0,PJM
1,223938,CoalST,247,2051,180.5,0.0,39.2079,-77.4527,233,230.0,DICKH230,6,0,0.0,0,0,PJM
1,223938,Solar,730,2031,167.9,0.0,39.2079,-77.4527,233,230.0,DICKH230,6,0,0.0,0,0,PJM
1,223938,Wind,1014,2031,20.0,0.0,39.2079,-77.4527,233,230.0,DICKH230,6,0,0.0,0,0,PJM
1,223988,CoalST,248,2051,613.3,0.0,38.3597,-76.9637,233,230.0,MORGT230,6,0,0.0,0,0,PJM
1,223988,Solar,731,2031,62.5,0.0,38.3597,-76.9637,233,230.0,MORGT230,6,0,0.0,0,0,PJM
1,227900,Solar,733,2031,29.6,0.0,39.4283378,-74.6205243,234,230.0,CARDIFF,6,0,0.0,0,1,PJM
1,228311,Solar,734,2031,32.7,0.0,39.694,-75.4852,234,230.0,CHAMBERS,6,0,0.0,0,0,PJM
1,228311,Wind,1016,2031,41.2,0.0,39.694,-75.4852,234,230.0,CHAMBERS,6,0,0.0,0,0,PJM
1,231001,Wind,1017,2031,536.0,0.0,39.74,-75.5094,235,230.0,EDGEMR 5,6,0,0.0,0,0,PJM
1,231004,Wind,1018,2031,29.8,0.0,39.6076,-75.6251,235,230.0,RL_230,6,0,0.0,0,0,PJM
1,232003,Wind,1019,2031,16.0,0.0,39.203,-75.4693,235,230.0,CARTANZA,6,0,0.0,0,0,PJM
1,232006,Wind,1020,2031,320.58,0.0,38.5858,-75.2392,235,230.0,INDRIV 4,6,0,0.0,0,1,PJM
1,235107,CoalST,249,2051,1961.4,0.0,39.5564822020462,-80.3285131984548,201,500.0,01HARRSN,6,0,0.0,0,0,PJM
1,235110,Solar,741,2031,10.0,0.0,39.05797,-78.25428,201,500.0,01MDWBRK,6,0,0.0,0,0,PJM
1,235111,CoalST,250,2051,1374.7,0.0,39.74054,-80.03274,201,500.0,01 502 J,6,0,0.0,0,0,PJM
1,235334,CoalST,251,2051,575.0,0.0,39.3054,-80.3389,201,138.0,01GLENFL,6,0,0.0,0,0,PJM
1,238551,CoalST,252,2051,672.1,0.0,41.5623831033015,-82.0666168618559,202,345.0,02AVON,6,0,0.0,0,0,PJM
1,238731,Wind,1038,2031,18.0,0.0,41.4239,-81.756,202,345.0,02FOX,6,0,0.0,0,0,PJM
1,238889,Wind,1040,2031,92.2,0.0,41.4742,-83.4551,202,345.0,02LEMOYN,6,0,0.0,0,0,PJM
1,238961,Wind,1041,2031,37.0,0.0,41.4745,-83.9242,202,345.0,02MIDWAY,6,0,0.0,0,0,PJM
1,242508,CoalST,253,2051,800.0,0.0,38.47328,-81.8228,205,765.0,05AMOS,6,0,0.0,0,0,PJM
1,242512,Solar,766,2031,80.0,0.0,37.37558,-79.8933,205,765.0,05CLOVRD,6,0,0.0,0,0,PJM
1,242522,CoalST,254,2051,800.0,0.0,38.47328,-81.8228,205,345.0,05AMOS,6,0,0.0,0,0,PJM
1,242802,CoalST,256,2051,60.0,0.0,37.0403,-79.5326,205,138.0,05SMITHMTN,6,0,0.0,0,0,PJM
1,242925,CoalST,257,2051,800.0,0.0,39.83345,-80.806,205,765.0,05KAMMER,6,0,0.0,0,0,PJM
1,242935,Wind,1065,2031,68.4,0.0,40.8014,-84.029,205,345.0,05E LIMA,6,0,0.0,0,0,PJM
1,242946,CoalST,258,2051,585.0,0.0,40.2548,-80.6469,205,345.0,05TIDD,6,0,0.0,0,0,PJM
1,243039,Wind,1070,2031,200.0,0.0,41.0318,-83.1275,205,138.0,05MELMOR,6,0,0.0,0,0,PJM
1,243130,Wind,1071,2031,200.0,0.0,41.144,-83.1277,205,138.0,05TIFFIN,6,0,0.0,0,0,PJM
1,243212,Wind,1077,2031,10.7,0.0,42.1889,-86.3342,205,345.0,05BENTON,6,0,0.0,0,0,PJM
1,243347,CoalST,259,2051,585.0,0.0,40.2548,-80.6474,205,138.0,05TIDD 3-4,6,0,0.0,0,0,PJM
1,243902,Solar,801,2031,20.0,0.0,40.631,-83.7942,205,345.0,05HARDIN SS,6,0,0.0,0,0,PJM
1,246108,CoalST,260,2051,800.0,0.0,39.84,-80.8191,205,138.0,05KAMMER24,6,0,0.0,0,0,PJM
1,246946,Solar,803,2031,150.48,0.0,39.1124,-83.7421,205,138.0,05WLDCAT,6,0,0.0,0,0,PJM
1,248000,CoalST,261,2036,1348.2,0.0,38.7363,-85.4234,206,345.0,06CLIFTY,6,0,0.0,0,0,PJM
1,248005,CoalST,262,2051,981.0,0.0,38.9123,-82.1309,206,345.0,06KYGER,6,0,0.0,0,0,PJM
1,249565,CoalST,263,2036,600.0,0.0,38.9054,-84.8527,212,345.0,08EBEND,6,0,0.0,0,0,PJM
1,249567,CoalST,264,2036,420.99379837614663,0.0,39.1128,-84.8058,212,345.0,08M.FORT,6,0,0.0,0,0,PJM
1,249567,CoalST,264,2051,599.0062016238534,0.0,39.1128,-84.8058,212,345.0,08M.FORT,6,0,0.0,0,0,PJM
1,249578,Solar,810,2031,76.0,0.0,39.1354,-83.9407,212,345.0,08HILCRT,6,0,0.0,0,0,PJM
1,253079,Solar,812,2031,69.6,0.0,39.5968,-84.0978,209,345.0,09SUGRCK,6,0,0.0,0,0,PJM
1,253100,Solar,813,2031,200.4,0.0,39.5562,-83.1787,209,345.0,09ATLNTA,6,0,0.0,0,0,PJM
1,253310,Solar,814,2031,402.96,0.0,39.2008,-83.832,209,345.0,AC1-085 POI,6,0,0.0,0,0,PJM
1,253931,Wind,1114,2031,20.0,0.0,40.5078,-80.3053,215,345.0,15CLINTN,6,0,0.0,0,0,PJM
1,254064,CoalST,266,2051,466.6790334160285,0.0,40.5375,-79.7917,215,138.0,15CHESWK,6,0,0.0,0,0,PJM
1,270162,CoalST,267,2051,1882.0,0.0,40.0269,-81.4452,205,765.0,AB2-067 TAP,6,0,0.0,0,0,PJM
1,304015,CoalST,268,2051,727.0,0.0,36.52748,-78.8907,340,500.0,8MAYO 500 TT,6,0,0.0,0,0,DUKE
1,304024,CoalST,270,2051,2070.075,0.0,36.4833,-79.0731,340,230.0,6ROXSEP230 T,6,0,0.0,0,0,DUKE
1,304035,Solar,826,2031,46.714,0.0,34.2818229100001,-77.98395034,340,115.0,3SUTTON115 T,6,0,0.0,0,0,DUKE
1,309057,Solar,853,2031,40.0,0.0,35.385095934,-80.8843321049999,342,500.0,8GODBEYRTRT,6,0,0.0,0,0,DUKE
1,314481,Wind,1155,2031,112.66,0.0,36.7714,-76.0923,345,230.0,6LANDSTN,6,0,0.0,0,1,PJM
1,314900,Wind,1159,2031,20.0,0.0,38.6479819791532,-77.7516314114516,345,500.0,8BRISTER,6,0,0.0,0,0,PJM
1,314901,CoalST,274,2051,3025.0,0.0,38.2091578245248,-79.8002185228444,345,500.0,8BATH CO,6,0,0.0,0,0,PJM
1,314903,CoalST,275,2036,150.57492756791748,0.0,37.437,-77.15869,345,500.0,8CHCKAHM,6,0,0.0,0,0,PJM
1,314903,CoalST,275,2051,1544.4250724320825,0.0,37.437,-77.15869,345,500.0,8CHCKAHM,6,0,0.0,0,0,PJM
1,314927,Wind,1170,2031,20.0,0.0,36.762979041,-76.3547147579999,345,500.0,8YADKIN,6,0,0.0,0,0,PJM
1,314929,CoalST,276,2051,526.7,0.0,38.968529352,-78.1774633579999,345,500.0,8FRONT ROYAL,6,0,0.0,0,0,PJM
1,314935,CoalST,277,2036,563.0,0.0,36.7633,-77.7096,345,500.0,8HERITAGE,6,0,0.0,0,0,PJM
1,314940,CoalST,278,2036,629.0,0.0,36.8979026870001,-76.897840941,345,500.0,8ROGERS RD,6,0,0.0,0,0,PJM
1,314941,CoalST,279,2051,1120.0,0.0,39.296426432,-77.514762,345,500.0,8BISMARK,6,0,0.0,0,0,PJM
1,314941,Wind,1177,2031,366.5,0.0,39.296426432,-77.514762,345,500.0,8BISMARK,6,0,0.0,0,0,PJM
1,342715,CoalST,280,2051,307.3003912078125,0.0,36.9989,-84.5897,320,161.0,5COOPER1,6,0,0.0,0,0,PJM
1,342838,CoalST,281,2036,1093.650424277488,0.0,38.7009,-83.8143,320,345.0,7SPURLOCK,6,0,0.0,0,0,PJM
1,342838,CoalST,281,2051,87.94115144210042,0.0,38.7009,-83.8143,320,345.0,7SPURLOCK,6,0,0.0,0,0,PJM
1,371402,Wind,1187,2031,130.36,0.0,32.3594,-81.1242,343,230.0,6JASPER2!,6,0,0.0,0,0,DUKE
